Produit;Marque;Pays;Energie (kcal/100g);Graisse (g/100g);Sucres (g/100g);Protéines (g/100g);Score nutritionnel;;;;;
Light Philadelphia;Philadelphia;Ireland;147.0;10.7;5.0;7.33;8.0;;;;;
Yoghurt;Yeo Valley;United-kingdom;72.0;3.8;4.9;4.2;2.0;;;;;
Family Farm Greek Style Natural;Yeo Valley;France;115.0;8.3;4.9;4.5;6.0;;;;;
Lait de coco fluide;Bjorg;France;171.0;18.0;0.5;1.2;10.0;;;;;
Whole milk;Tesco;United-kingdom;66.0;3.7;4.7;3.5;4.0;;;;;
Boisson Noisette;Bjorg;France;69.0;4.5;4.0;1.0;9.0;;;;;
jaouda p'tit dej honey;Jaouda;Morocco;97.0;3.7;9.0;3.0;5.0;;;;;
Almond No Sugars;Acti Leaf;Ireland;15.2;1.32;0.0;0.6;1.0;;;;;
Milk Chocolate;Fin Carré;Bulgaria;534.0;30.2;56.3;7.0;35.0;;;;;
Danone max;Danone;Morocco;51.0;1.0;7.0;1.3;;;;;;
Mini Babybel Original;Bel;France;295.0;23.0;0.01;22.0;14.0;;;;;
Light greek yogurt;Milbona;United-kingdom;94.0;5.0;4.5;7.8;2.0;;;;;
Véritable Petit écolier Pocket Chocolat au Lait;LU;France;498.0;23.0;39.0;6.2;30.0;;;;;
Natural Bio Yogurt;Lancashire Farm;United-kingdom;80.0;3.5;3.7;5.2;0.0;;;;;
Whole Oat Drink;Oatly;United-kingdom;59.0;2.8;3.4;1.1;7.0;;;;;
Natural Coconut Cream;Kara;France;35.0;4.0;0.0;0.0;5.0;;;;;
fondiz;land'or Maroc industries;Morocco;277.0;19.0;7.0;5.0;15.0;;;;;
Lait UHT Entier;Dost;Morocco;58.0;3.0;4.8;3.0;2.0;;;;;
Oat unsweetened;venmondo;Ireland;44.0;1.6;2.2;0.5;5.0;;;;;
Comté;Entremont;Belgium;410.0;34.0;0.5;26.0;11.0;;;;;
Saint Agur;Saint Agur, Savencia;France;361.0;33.0;0.5;16.0;18.0;;;;;
Caprice des Dieux;Caprice Des Dieux, Savencia;Belgium;333.0;30.0;0.1;15.0;14.0;;;;;
Fromage blanc au lait de brebis;VRAI;France;96.0;6.3;4.5;5.3;4.0;;;;;
Elle & vire creme fraiche epaisse legere 12%mg poche 328g;Elle & vire;France;145.0;12.0;3.9;3.1;13.0;;;;;
Oat Milk;Califia Farms;Ireland;55.0;3.0;2.0;0.7;5.0;;;;;
Milk Single Origin Chocolate;Waitrose;United-kingdom;618.0;47.0;34.7;8.0;26.0;;;;;
Greek style Honey;Yeo Valley;France;141.0;7.8;13.7;4.1;7.0;;;;;
Paysan Breton - Le Fromage Fouetté Madame Loïk - Echalote Ciboulette;Madame Loïk;Belgium;244.0;23.0;2.9;5.5;16.0;;;;;
Ghilal Panaché;Jaouda Copag;Morocco;68.0;0.7;9.3;1.4;13.0;;;;;
Milk Caramel Sea Salt Chocolate;Tony's Chocolonely;United-kingdom;537.0;32.0;51.0;6.9;33.0;;;;;
Milk Chocolate Nut;fin CARRE;Bulgaria;557.0;34.7;50.3;7.78;31.0;;;;;
Lindt Excellence Dark Orange Intense;Lindt;Austria;535.0;32.0;46.0;7.0;29.0;;;;;
Unsweetened UHT Soya Drink;Actileaf;United-kingdom;31.0;1.9;0.0;3.4;-5.0;;;;;
Oat Barista Blend;Califia Farms;United-kingdom;54.0;2.9;2.8;0.8;6.0;;;;;
